"","x"
"314","@ChaseSupport since u won't send the inspector 2 me ill send the pics 2 you. #roomrepaired #paperworkdone #finalthis http://t.co/Mvj2v5pC6i"
"315","@ChaseSupport i logged on my account and saw 2 charges i didnt make  #helpme"
"316","New week, new hope. Hoping @Chase @ChaseSupport make something happen this week. Homeowner needs some good news :("
"317","@ChaseSupport got it. Happy to resolve this. Sure we can all do the right thing here   I hope Ty"
"318","@ChaseSupport Have not reinstalled, but ill try that. Thanks."
"319","@ChaseSupport I've an account but no credit/debit card and I'm outside the US. Do you have a customer service email that I can use? Thnx"
"320","RT @ChaseSupport: @PrinceBryce23 Good morning! We are following you. Feel free to tweet us if you ever have any account questions. ^SG"
"321","@ChaseSupport I realize this but it did help on a Sunday, and are you at all concerned about total lack of supplies for customers?"
"322","@ChaseSupport if i add an additional user to my credit card account will i get two times 1500 dollar - quarter rewards or only once ?"
"323","@ChaseSupport how to i cancel a quickpay"
"324","@ChaseSupport good morning! I just replied to you!"
"325","@ChaseSupport Tried to use the pin sent to me at ATM, didn't work; tried to use night deposit, no supplies, had to deposit ck w/o d/slip etc"
"326","@ChaseSupport much appreciated!"
"327","@ChaseSupport Service still stinks; almost always understaffed at the counters. Same goes for your branch at Rt. 45 &amp; Old Nyack Turnpike"
"328","@ChaseSupport Hi there! Just wanted to verify I am receiving an offer I applied for last week."
"329","@ChaseSupport  if i extract from new zeland, will i be able to extract usd cash,  o i will get local currency? Is there a max amount?"
"330","RT @ChaseSupport: We’re packing up and cleaning off our desks for National Clean Off Your Desk Day. Who knew you could fit so many tweets i…"
"331","RT @ChaseSupport: We’re packing up and cleaning off our desks for National Clean Off Your Desk Day. Who knew you could fit so many tweets i…"
"332","@ParkerConslt Apologies; we are still unable to send a DM since you do not follow our handle. Please follow the @ChaseSupport handle. ^BD"
"333","@ChaseSupport Thanks. I use @GoSoftcard with my @Chase CC when I can. Hope you are working to get more people on board with that tech"
"334","@ChaseSupport maybe best if u have your legal department call me   Not willing to discuss w anyone with no decision making authority."
"335","@ChaseSupport I have followed your handle how come no one has reached out to me."
"336","Hey @ChaseSupport applied online for the United Club friday, and was approved. But when i call in to expedite card, they say it's pending"
"337","@ChaseSupport When does the 7% point dividend for the CSP post, and how can I view it?"
"338","RT @mgcandelori: Dear @ChaseSupport please add support for Ink @MasterCard on #ApplePay!"
"339","Dear @ChaseSupport please add support for Ink @MasterCard on #ApplePay!"
"340","@ChaseSupport it would be in your best interest to contact me immediately to resolve an issue that clearly will hurt many. Your call"
"341","@ChaseSupport requiring a fax makes a company look like it's stuck in the 80s. Not technologically savvy at all."
"342","@ChaseSupport Hey, I just got back from a country with US Sanctions against it and cannot access my account. I have to fax notarized info?"
"343","@Ringsthecaddy @ChaseSupport got it. Was hoping for exact date. Not a prob."
"344","@juanguibeme @ChaseSupport end of February"
"345","When should I expect the 7% annual dividend for my CSP? @ChaseSupport"
"346","@ChaseSupport how do I fix my account?"
"347","@ChaseSupport Hi you might be interested in this blog about a couple doing safari in Africa http://t.co/vmjOSxTZRE"
"348","RT @ChaseSupport: As we close for the evening, we want to wish Rod Stewart a happy 70th birthday. Remember to stay Forever Young. ^TZ"
"349","@ChaseSupport just DM you a question. Thank you."
"350","@Chase @ChaseSupport I need to speak to someone who won't hang up the phone. Your #customerservice is #failing."
"351","@ChaseSupport I made two transactions and now I cannot make one more, tell me fraud prevention has something to do with that??"
"352","@ChaseSupport So now I can't use the app on my phone which I need. Because I'm not updating to 7 if I don't have to yet."
"353","@ChaseSupport actually, it tells you it now requires 7 in order to work now. I tried uninstalling, same thing happened. I'm not happy."
"354","@ChaseSupport is the online access down? Can't log on. What's the toll free number?"
"355","@ChaseSupport Hi! i am not currently in USAand  I wanted to know how much is the international withdrawal fee, i need to extract USD 4800"
"356","@saintlyedge @united @chase @mileageplus @ChaseSupport @UN oops!"
"357","You guys at @ChaseSupport are the best. Thank you very much."
"358","@ChaseSupport Your iOS mobile app ought to be be enhanced to support TouchID and @1Password API integration. Please pass along this request!"
"359","@united Love me like I want 2 love you &amp; refund the $200 n unauthorized fees u charged me on my @ChaseSupport #mileageplus card..not cool"
"360","@ChaseSupport Trying to create online account to pay bills but I need to change the phone # on account so i can get verification #."
"361","RT @jimmynicks1: its never too early to start planning for retirement #rothIRA @Chase @ChaseSupport @ChaseSmallBiz"
"362","@ChaseSupport Hi, I have credit balance on a credit card which was closed. How long does it take to get a refund check?"
"363","@united It's too bad you charged my #chase #mileageplus #mastercard $200 in unauthorized fees to redeposit miles @ChaseSupport"
"364","@ChaseSupport maybe you all wouldn't have suck a bad rap if you returned a call. Been telling u u about this for week  FCC in now!!"
"365","@ChaseSupport Learned they don't care about longtime customers."
"366","@ChaseSupport how long does a refund take to post on a credit card?"
"367","@ChaseSupport thanks guys. Can't believe you came through via Twitter!"
"368","@ChaseSupport akard and main Downtown Dallas."
"369","@ChaseSupport Follow me back I bank with you guys"
"370","RT @ChaseSupport: As we close for the evening, we want to wish Rod Stewart a happy 70th birthday. Remember to stay Forever Young. ^TZ"
"371","@ChaseSupport Have a wonderful weekend."
"372",".@ChaseSupport you decline my international wire transfer and still charge me the $45? Easy to deposit, and impossible to take out #bigbanks"
"373","RT @ChaseSupport: As we close for the evening, we want to wish Rod Stewart a happy 70th birthday. Remember to stay Forever Young. ^TZ"
"374","@ChaseSupport everything's good on this end, I'll message you if there are anymore issues. Thanks for reaching out though."
"375","@ChaseSupport Can you tell me whether Rackspace falls in the ""cellular phone, landline, internet and cable TV services"" category?"
"376","@ChaseSupport Well you are the best bank in the US to me. I achieved more banking with @Chase than any other bank. #RealTalk"
"377","RT @ChaseSupport: A wise man once said ""You know it's cold outside when you go outside and it's cold."" Feel free to stay warm inside and tw…"
"378","@KykeMescudi If you need any assistance with the app, feel free to tweet @ChaseSupport. We're here Mon-Fri 7AM-9PM ET &amp; Sat 8AM-5PM ET. ^SG"
"379","@ChaseSupport I have zero desire to DL IOS 7 because I've heard NOTHING but bad things about it. Really annoyed about this."
"380","@ChaseSupport Really NOT happy that you're forcing a mobile app update on me to continue using app &amp; it won't update unless I DL IOS7"
"381","@ChaseSupport just did this"
"382","@ChaseSupport deposit account."
"383","@ChaseSupport If I were to get both the marriott premier personal and marriott premier business card, would I get 30 elite night credits?"
"384","@ChaseSupport every time I call your fraud prevention line it cuts me off after I enter all the prompts. This has happened 4 times now!"
"385","@ChaseSupport It did. On Firefox. Thank you!"
"386","@ChaseSupport can I add an extra person to my accounts over the phone?"
"387","@ChaseSupport I set up a direct deposit with my uni but i put savings instead of checking, i dont have savings, what will happen?"
"388","RT @ChaseSupport: @ColeUsry @Verifone may not have Apple Pay integrated with their systems. If you’d pls follow/DM your name &amp; zip code, I …"
"389","@ChaseSupport Why are you denying a recurring billing that has happened every 4wks for 7yrs? Called 3x already. Declined 2 months in a row"
"390","its never too early to start planning for retirement #rothIRA @Chase @ChaseSupport @ChaseSmallBiz"
"391","@ChaseSupport i can not reset my account password.  Help !!!"
"392","@ChaseSupport I sent you a DM"
"393","RT @ChaseSupport: A wise man once said ""You know it's cold outside when you go outside and it's cold."" Feel free to stay warm inside and tw…"
"394","@ChaseSupport yeah I do need help with something."
"395","@ChaseSupport I wonder how I got an overdraft fee. I'm not happy with service for the past 2 months."
"396","@ChaseSupport Also..loving the new AmEx fingerprint ID login. Is Chase working on that for its App?"
"397","@ChaseSupport Good am. Your website on Safari still redirects to the mobile platform. Any progress on that? I've had to use Chrome instead."
"398","RT @ChaseSupport: A wise man once said ""You know it's cold outside when you go outside and it's cold."" Feel free to stay warm inside and tw…"
"399","RT @ChaseSupport: A wise man once said ""You know it's cold outside when you go outside and it's cold."" ^MM #FunnyBank"
"400","@ChaseSupport damage has been done already lol"
"401","Unbelievable! Waited 12 days 4 a response from @Chase @chasesupport only 2 be told we don't give support 4 that kind of acct  #fail AGAIN."
"402","14 days after #chase #Bank #fraud debacle, FINALLY recvd phone call,wanted me to give SS &amp; accnt no! Why? @ChaseSupport #poorcustomerservice"
"403","@ChaseSupport see ya tomorrow!"
"404","@ChaseSupport agreed. esp when forced to send sensitive docs via email at req of mortgage bnkr despite your email caveat"
"405","@ChaseSupport Had an awful phone experience w/mortgage banker based in Phoenix, AZ. Disappointed loyal customer for +15YR"
"406","@ChaseSupport the policy just seems to be wrong... In a way it's discriminating. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A3>"
"407","@ChaseSupport: I'm a graduate student n just can't open college checking account. js bcoz I'm over 25? Very disappointing! My classmate can"
"408","@ChaseSupport Sent!"
"409","@ChaseSupport The multi-city option on Preferred Rewards travel has not worked since new version of site. On any browser. WTF?"
"410","@ChaseSupport sent!"
"411","@ChaseSupport So I need to log into your site as an extra step - I am about making my life more efficient so I will just get rid of you."
"412","@ChaseSupport Why can't I log onto"
"413","Hey @ChaseSupport I still haven't received my text verification code to set up my online account. What gives? I've tried a few times now."
"414","@ChaseSupport Can I transfer balances between chase cards?"
"415","@ChaseSupport thank you!"
"416","@ChaseSupport revolving door leading into the blue line by the auditorium stairway. Always closed in extreme cold temps regardless of time."
"417","#checkcashing store treated me like a #queen @Chase @ChaseSupport .valid #fldl #voterreg was good for them"
"418","@ChaseSupport Appreciate it."
"419","Hey @ChaseSupport I have a new account I cannot link to my profile. Can you help?"
"420","Hell yea thanks @SouthwestAir @ChaseSupport http://t.co/chgjv6BPDS"
"421","RT @ChaseSupport: @emilielimaburke We're here until 9PM ET to help. We'd hate to see you go. Please feel free to DM us. ^MM"
"422","Second time in two months I've had fraudulent credit charges. Chase customer service @ChaseSupport was quick to correct the problem. #Chase"
"423","@ChaseSupport will credit cards have a security chip any time soon? It makes cards more secure.  Like in Canada and Europe."
"424","@ChaseSupport I do applaud the efforts of the Fraud Dept.they do an excellent job. But having to change cards 3 times in a year is hard"
"425","@ChaseSupport Thanks. I've tried cache clearly before with no joy. This time, so far, so good."
"426","@ChaseSupport very telling of ur co after speaking w/Lynette.I appreciate ur response.what was done is illegal.ill deal w it thru legal sys."
"427","RT @makerofthings7: .@ChaseSupport #security and #privacy concern:Why does @LiveRamp @Acxiom @rocketfuelinc marketing collect data while do…"
"428",".@ChaseSupport #security and #privacy concern:Why does @LiveRamp @Acxiom @rocketfuelinc marketing collect data while doing online banking?"
"429","@ChaseSupport I called in and spoke to a manager, she pushed it through,"
"430","@ChaseSupport Got it. Still disappointing but thanks for the clarification DS!"
"431","@ChaseSupport Thanks very much indeed."
"432","@ChaseSupport Thanks for you help."
"433","@ChaseSupport my credit report was illegally pulled w/out notifying me. Lynette from ur exec office will not help. Who do I speak with?"
"434","@ChaseSupport the 1099-INT form"
"435","@Chase @ChaseSupport When are you going to protect cardholders.Third time in the past year I've had to get a new card because of fraud."
"436","@BreakingOutBad That's great to hear! Feel free to tweet @ChaseSupport if you ever have any account questions or concerns. ^SG"
"437","@ChaseSupport I got it all sorted out, but thank you!"
"438","@ChaseSupport the gate that blocks you from exiting the Chase basement into the @cta Monroe blue line. It's always down in cold weather."
"439","@ChaseSupport I was just being sarcastic with an anti-bankers fella. I love you guys"
"440","@ChaseSupport can i get my 40k back"
"441","@ChaseSupport When can we expect our 2014 interest income forms for tax season?"
"442","@ChaseSupport Chase banker defrauded me for 40k, story developing"
"443","@ChaseSupport Alright. If I set up an acct &amp; link my DDeposit from my job to it, how long will it take to process for next Fri. deposit?"
"444","@ChaseSupport and it happened at the Chase in the Pearland town center area"
"445","@ChaseSupport no. 2 ATMs were completely out of service, one wouldn't take checks, and the other one said the ATM had a ""technical error"""
"446","@ChaseSupport Spoke to Melissa, branch manager. Am dropping next week to introduce myself. Agrees that my experience was not CHASE LEVEL."
"447","@ChaseSupport @chase worst customer service experience. How does customer service get away w lies?!"
"448","@ChaseSupport I am setting up a website for a small business in the USA.  I am in need of setting up credit/debit card payment system."
"449","@ChaseSupport thank u!<ed><U+00A0><U+00BC><ed><U+00BC><U+009F>"
"450","@ChaseSupport no I didnt. Ur outsourced customer service SUCKS. Last time I checked you were an American company!"
"451","@ChaseSupport Thanks, bunches. Interesting that it came up that way. I had never accessed the Spanish version before. Glad it's not a bug.:)"
"452","As soon as I have this figured out and my money in my account, I WILL be closing my account @ChaseSupport"
"453","Why not also send it via email so there's proof? @ChaseSupport EXTREMELY DISAPPOINTED."
"454","I am dependent on those funds. @ChaseSupport isn't going to front me. ""Owen"" said letter mailed that I never received. Where's the letter?"
"455","Just spent time on the phone with ""Owen"" of @ChaseSupport- bank teller on 1/2 said money would be released on 1'8, still on hold"
"456","Absolutely disgusted with @ChaseSupport right now. Transfered banks because I was told #CustomerService would be better. Obviously not."
"457","@ChaseSupport You have my permission to forward it without my full name.  I DMed my zip"
"458","RT @ChaseSupport: @Leighleigh521 Thank you for informing us of this number. I will forward this internally to be reviewed. Have a great wee…"
"459","@ChaseSupport On the phone"
"460","@ChaseSupport no thank you!- I just want to alert you guys; to tell your costumers; since scam is on the rise lately."
"461","@ChaseSupport no. 1.5 hrs on the phone.  No resolution.  Very disappointed."
"462","@ChaseSupport It's only fair to praise, if you have ever complained publicly. My expectations were exceeded."
"463","@ChaseSupport if you could transfer a couple thousand to my account, my issue would be resolved. Thanks! <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>"
"464","@ChaseSupport Awesome i use it religiously free signup with any debit card makes transactions easy!"
"465","@ChaseSupport next step is subpoena my phone convo.Exec office persons integrity is completely shot.Blatant lies @ the expense of ur comp."
"466","@iashea Thanks for the feedback; we'll be sure to share it with our developers. Pls tweet @ChaseSupport if you ever have acct questions. ^SG"
"467","@ChaseSupport Excellent experience with your customer service today! Katie resolved my issue in a speedy and friendly manner. Thank you."
"468","@ChaseSupport I'm not following you, but I can DM."
"469","@ChaseSupport how come @WesternUnion isnt worried about money laundering they accept cash and money transfers using COLD HARD AMERICAN CASH"
"470","@ChaseSupport she is a Comerica Bank customer. I'm a Chase customer. I thought Quick Pay was if both customers are Chase customers..."
"471","@ChaseSupport got it thank you"
"472","@ChaseSupport Done"
"473","@ChaseSupport @Chase friendly heads up; I reported this number ""(210) 520-6400""; tell your costumers too. http://t.co/eAXfp3SfSb"
"474","@ChaseSupport currently at the bank closing my accounts! Thanks anyway, but the 4 ppl I spoke with this am didn't want to help."
"475","RT @ChaseSupport: @Touch_la_Sky I want to help however I can to retain your business. Will you please follow us and DM details about what u…"
"476","@ChaseSupport in found some coupon description online for $500 coupon . Like 300 + 200 . For direct deposit and savings account ."
"477","@ChaseSupport Why are you penalizing the poor for using your bank? If you don't want us, just make the limit to open an account higher."
"478","@ChaseSupport checking and savings ."
"479","@ChaseSupport and $25 is way too much just to send some money, ""expedited fees"" or not. <ed><U+00A0><U+00BD><ed><U+00B8><U+0092>"
"480","@ChaseSupport Why do rich people get a break from the ""fees"" anyways? Why not the people who it actually hurts to have $10 stolen?"
"481","@ChaseSupport can't use your free service because she doesn't have Chase..."
"482","@ChaseSupport ... or because I'm rich enough to have your required amount of money in my account, but because stealing is wrong."
"483","@ChaseSupport Yes. I'd prefer a bonus where you don't steal $10 from me every month, not because I jumped though some direct deposit hoop..."
"484","@ChaseSupport thank you chase for finally sending me my debit card 3 WEEKS LATER"
"485","@ChaseSupport thank you, your representatives have already been wonderful and helped out."
"486","@ChaseSupport About 50% of the time, using Chase's online banking on a laptop drops me into the mobile version of the site. Any suggestions?"
"487","@ChaseSupport and @SouthwestAir 1/2 9 days into the New Year and I have still not heard back about my companion pass. I got over 110,000 pts"
"488","@ChaseSupport Not a chance. I don't want to be with a bank that left me stranded without access to my money."
"489","@ChaseSupport who launders money under $1000? What world do you guys live in? maybe more attention should be given towards bad home loans?"
"490","@ChaseSupport I'll be asking everyone in my family also friends to not bank with chase"
"491","@ChaseSupport all you're trying to do is have more people sign up to your horrible bank to send money. #chaseSUCKS"
"492","@ChaseSupport anti money laundering? you're joking me right? it was only $1000. maybe you should look into setting a cash deposit limit!"
"493","@ChaseSupport Thanks!"
"494","@ChaseSupport how freakin stupid r you guys, you re-key the property on a SS and the BPO co keeps canceling for non entry when we gave codes"
"495","@ChaseSupport TY. it's at 1330 Broadway, Oakland CA. Plywood was put in windows in mid Nov. for Michael Brown protests"
"496","@ChaseSupport I have and sent you one back. SG looking forward to hearing back from you."
"497","@Superwoman329 2/2 Chase QuickPay, to send funds. Should you have any account questions, feel free to tweet us @ChaseSupport. ^MB"
"498","@ChaseSupport 2/2 so I no longer have an account with you that I can ask questions about."
"499","@ChaseSupport 1/2 You guys closed my account due to ""fraud"" while I had an extended trip abroad, and I was unable to get to a branch in time"
"500","@chasesupport cancel that request. i figured it out now.  nevermind. sigh."
"501","@ChaseSupport Hi! Can you check if a double-payment was made to one of my accounts with you? Two pmt charges hit my bank acct! :("
"502","@ChaseSupport that worked.  Thanks"
"503","@ToniDeLancey @ChaseSupport @USPS will u please send a direct message so I  an send u number to call."
"504","@ChaseSupport you guys did! Awesome job, thank you so much! I called costumer service and they were great!"
"505","RT @ChaseSupport: @Castano_x I'd like to see if we can help. Without sharing acct numbers, pls follow/DM your name, zip &amp; the amount of the…"
"506","@ChaseSupport glad to hear! Ya'll are the best! <U+263A><U+FE0F>"
"507","@ChaseSupport Your mobile CC payment site's defaulting to Spanish. Yo puedo hablar español. Others don't. Your IT folks'll want to look. :)"
"508","@arigmeza 2/2 Feel free to tweet @ChaseSupport if you ever have account questions. ^SG"
"509","@yourfavorite We're glad to hear these charges were caught! If you ever need assistance with your account, tweet @ChaseSupport. ^SG"
"510","@Multi_EthnicMgt @ChaseSupport @USPS greatly values your business – will contact you today."
"511","@ChaseSupport still no apple pay for the ink cards.  I'm no longer ""patiently"" waiting."
"512","@ChaseSupport I have Carmen's #; she's going 2 have branch mgr call. @ToniDeLancey I want the same respect from u/USP http://t.co/CNkOPbwkM7"
"513","@USPS @ChaseSupport ur EXECUTIVE SPECIALIST called @ToniDeLancey still waiting 2 ""chat"" about package. I'm serious! http://t.co/ZTd0WnTPgU"
"514","@ChaseSupport It's 2015 and Chase still refuses to issue Chip &amp; PIN cards. Sad the US is last place in bank technology."
"515","@ChaseSupport Why did my Chase Best Buy account close? Now I have available credit I can't use."
"516","Waiting on @ChaseSupport to deliver me some good news for my clients"
"517","@ChaseSupport The new app has flaws, no place to log on."
"518","@ChaseSupport I'm having problems transferring UR from spouse to self, receiving ""unexpected error"" when I input my card and last name."
"519","Alright @ChaseSupport, I have @Ask_WellsFargo now. Received this $300 Checking Bonus thing in the mail. Why should I bank with you over WF?"
"520","@ChaseSupport hope you are here in southern Florida or Hawaii. Otherwise standing outside is a very good way to chill"
"521","@ChaseSupport You sure are. Good night and stay warm and safe."
"522","@ChaseSupport thank you"
"523","@ChaseSupport Thank you for your help!"
"524","@ChaseSupport 2/2 and paperless is the same amount of work in that I need to log into my bank and set up the payment"
"525","@ChaseSupport 1/2 AutoPay is not an option, I cant monitor what my upcoming payments are using that instead suddenly money just disappears"
"526","@ChaseSupport what, amateur hour dog &amp; pony show doesn't cover it?? just kidding, i'll DM the gory details as soon as twitter lets me.."
"527","@dtemkin @ChaseSupport I hate this about my Chase card."
"528","@ChaseSupport Thanks!"
"529","@ChaseSupport I was charged this non-customer fee. #Extortion-the check was drawn on ur bank &amp; good: R U a bank or check chasing store?"
"530","@emanon256 Agreed! Not having the bill send directly is a huge step back. Awful choice @ChaseSupport"
"531","Just got an email that @ChaseSupport no longer supporting 3rd party eBill statements. I think I will be canceling my cards with you guys."
"532","I didn't have any follower today .. But my bank follow me which is nice.! @ChaseSupport"
"533","you might want to send out new debit cards before you cancel someone's ONLY working CARD. @Chase @Chase @ChaseSupport"
"534","@ChaseSupport Yeah, for $6. Per month. Fuck that. It's illegal."
"535","@ChaseSupport Ok , thanks"
"536","@ChaseSupport What if the address isn't local? Does it matter?"
"537","@ChaseSupport Had a quick question, but can't log into my old account help!"
"538","@ChaseSupport thanks . you too and God bless"
"539","@ChaseSupport @emanon256 I use that service to receive and pay my bill from my bank.  I now must get the bill, and manually pay."
"540","@ChaseSupport I have chase freedom credit card, i would like to refer my friend. Where do i need to refer ?"
"541","@ChaseSupport You should have gotten the hint by now. Short of 5 years minimum at 0%, sending more mail doesn't help."
"542","@ChaseSupport Why do you guys send paper mail to me everyday soliciting services? The amount of paper from Chase is insane."
"543","RT @ChaseSupport: @MsAshleyGrier I am glad that Diana was able to provide you with such a great experience. I will share this with the Bran…"
"544","@ChaseSupport the branch location is Palatine IL Branch 000993"
"545","@ChaseSupport got email that Chase is dropping eBill, must sign back up for paper, seems like a move in the wrong direction. #inconvenient"
"546","@ChaseSupport dnt remember her name lol"
"547","@ChaseSupport via the Chase website. I don't want a different website for each of the banks I use; this should be obvious -I'd rather cancel"
"548","@dtemkin @ChaseSupport that's full retard"
"549","RT @ChaseSupport: @Kris_Mexicanese We're glad you want to open an acct w/ us! You can see our current checking acct offer here: http://t.co…"
"550","@dtemkin @ChaseSupport It's getting too expensive to send email and pdf."
"551","@ChaseSupport thanks guys"
"552","What kind of massively consumer-unfriendly move is this, @ChaseSupport ? http://t.co/1lXH4sWtg3"
"553","@ChaseSupport thank you everything is fine now ! Thanks chase lol"
"554","Yes in the SUGARLAND &amp; Houston area @ChaseSupport"
"555","@ChaseSupport That was in the Chase branch on 6th Ave &amp; 44th St in Manhattan"
"556","Thanks @Chase @jpmorgan @ChaseSupport for making it such a hassle to get my own money out of my own account! #iJustWantMyMoney"
"557","@ChaseSupport I have the app I was in the mountains with no service, that's the dumbest fee ever, all I'm doing is checking balance"
"558","@ChaseSupport WE ARE STILL LOOKING FOR OUR FIRST EVER CORPORATE SPONSOR.. PLEASE LOG ON TO http://t.co/OWt0crju6v  AND SIGN UP TODAY!!!"
"559","@ChaseSupport Thank you <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B1><U+008D> Whoever runs your Facebook page completely ignored me <ed><U+00A0><U+00BD><ed><U+00B8><U+0090>"
"560","@ChaseSupport you haven't resolved my problem though<ed><U+00A0><U+00BD><ed><U+00B8><U+00B3>"
"561","'@ChaseSupport COME ON NO SPANISH speaking bank tellers? In HOUSTON TEXAS"
"562","@ChaseSupport could you add #TouchID support to the iOS app?"
"563","@ChaseSupport I got it taken care of. It was a misunderstanding and the people at the bank were very helpful. Thank you though! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"564","@ChaseSupport I just got approved for a new CC. Is there any way to get the card sent quicker than 7-10 days? Need to start using it ASAP!"
"565","RT @ChaseSupport: @roobee_doll I'm sorry you had a bad experience. If you'd like to share additional details, please tweet us. We are here …"
"566","@ChaseSupport I need some help"
"567","RT @ChaseSupport: @LuxeyGaxiola_ I'm happy to hear that Judy was able to address your concerns. Did you speak with her in a branch or over …"
"568","RT @ChaseSupport: @amelakazic I'm sorry for the negative experience and I want to look into this. Will you follow/DM your name and zip code…"
"569","RT @ChaseSupport: @amelakazic If you'd like us to review this, please tweet us. We'll be in until 9PM ET tonight. You may also call 800-945…"
"570","@ChaseSupport i just did"
"571","@ChaseSupport and to whoever monitoring the account, find another job where you actually can make impact making people's life better."
"572","@ChaseSupport don't screw up your customer to begin with."
"573","@ChaseSupport just having TWTR presence is not good customer support."
"574","@ChaseSupport the customer service I received was great. Worth the wait. Thanks!"
"575","@ChaseSupport presumably mess up my tax, creating issues for me to fix."
"576","@ChaseSupport you guys decided to close my hsa account without notifying me or work with me to move fund to some other HSA."
"577","@ChaseSupport why am I getting Non-Chase ATM fees. I was told that was not something Chase charged their customers when I signed up."
"578","@ChaseSupport sent you the message"
"579","@ChaseSupport interesting, @AmericanExpress @Discover @PersonalCapital are leading the way.  Thanks for the response."
"580","RT @ChaseSupport: @bretthackel We hope you obtained your card. If you're interested, pls visit http://t.co/xttRAVnsdO for information about…"
"581","Likely going to be closing the account to avoid further fees and go back to @Chase where it was honest @ChaseSupport @PNCBank_Help @PNCBank"
"582","@ChaseSupport thank you!"
"583","@ChaseSupport On your online billpay service, when do the payments post to your checking accounts?"
"584","@ChaseSupport I think the people I dealt with via message are under the mistaken belief that I won't pursue legal action. Ha, yeah, I will."
"585","@ChaseSupport Yeah. Give me access to past statements on a closed account (as required by law) without charging me $6 per statement. Okay?"
"586","@ChaseSupport bye going"
"587","@ChaseSupport thanks for the social media command center tour!"
"588","@ChaseSupport  Please let me know how can i get my refund back.. my Ph: 9728027712"
"589","@ChaseSupport  When i tried to reach the branch people, even they dont have any idea. Even the customer care people are helpless."
"590","@ChaseSupport : Dear Chase,
There was a deduction of $56 from my checkings account without any prior communication."
"591","@ChaseSupport i sent my contact number"
"592","@ChaseSupport is there a way to find out which branches in my area have the machine?"
"593","RT @ChaseSupport: @sadielewis We've not received any communications about this category, but I'll happily share your feedback. Tweet us if …"
"594","@ChaseSupport  What's up? Want to know how to get more done? Click here http://t.co/nWXoFYHcAb"
"595","@ChaseSupport 38th st and Washington blvd in Indianapolis and then on college abs just south of broad ripple ave."
"596","@ChaseSupport Oh sweet. That was easy. Thanks!"
"597","@ChaseSupport  i did"
"598","@YoungJushii I'm sorry to hear our offer did not meet your current banking needs. Pls tweet us @ChaseSupport if you have acct questions. ^MB"
"599","@ChaseSupport Yo - I'm headed out of country on vacation next week. Is it still recommended that I notify you guys before using my card?"
"600","@ChaseSupport perhaps I should deposit my stacks of cash at another bank that has a properly working ATM??"
"601","@ChaseSupport I used to be able to deposit a whole stack of cash at once"
"602","@ChaseSupport the staff at the branch doesn't seem to care"
"603","@ChaseSupport the ATM in bowling green has been having problems with cash deposits for months. More than 2 bills at a time is rejected!"
"604","@emdebnam Thank you so much! I'll be sure to share your tweet w/ them. Feel free to tweet @ChaseSupport if you ever have acct questions. ^SG"
"605","@ChaseSupport it was the Chase location at 3012 Government Street in Baton Rouge.  :)"
"606","RT @ChaseSupport: @rpwenzel We hope you enjoy the benefit of having account alerts. Please let us know if you have any questions. ^NA"
"607","@ChaseSupport pressing 0# just sent me in to a loop asking for my card, account and pin #. All good now I went to a local branch."
"608","@ChaseSupport please check your DM"
"609","@SoBeLIVE We're happy to hear of your great experience &amp; we'll forward it to the branch. If you ever need anything, tweet @ChaseSupport. ^SG"
"610","@ChaseSupport that makes no sense on any planet. I want to see 2014s transactions on one spreadsheet. @AmericanExpress does it."
"611","@ChaseSupport how is it I get an overdraft fee when my bank account was at 0 when I went to bed. Same account transfers shouldn't pend!"
"612","@ParkerConslt We'll need you to follow our handle in order for us to send you a DM. Please follow @ChaseSupport. ^BD"
"613","@ChaseSupport @Chase your private banking customer care people are not helpful at all.I need help ASAP"
"614","@ChaseSupport Is Chase Ink Plus Business Card a Visa or a Mastercard?"
"615","extremely impressed by @Chase customer service tonight - a million kudos y'all! cc @ChaseSupport"
"616","@ChaseSupport have tried calling the 9935 number 5 times. But it rejects my card, pin, account no's and I can't to get to a human. Outage?"
"617","@ChaseSupport go ahead and send me a DM"
"618","@ChaseSupport change the android app so I can take a screenshot for receipt or at least add the option so I can send receipt for billpay/wt"
"619","Punny: RT @ChaseSupport: We’re leaving for the day. We got new reversible jackets. We’re excited to see how they turn out! ^AG"
"620","@ChaseSupport Can I try tomorrow?"
"621","@ChaseSupport hey so i got this email today phishing to reset my chase account.. you might want to dig deeper http://t.co/29gPSkPkSx"
"622","@ChaseSupport done!"
"623","@ChaseSupport  I was able to talk to someone and got my question answered. Thanks!!"
"624","@ChaseSupport How do I go about overnighting my new credit card I was approved for? Thanks! #travelingsoon"
"625","@anandsays @ChaseSupport or acres4orty@yahoo.com. or 801-688-3117"
"626","@anandsays @ChaseSupport and investor so if you feel like our apparel is worthy of your assistance please contact me here or"
"627","@anandsays @ChaseSupport deserving of reparations. Our online store is now open for business. http://t.co/85E7oFAnm0. I am also looking for"
